workerid,proliferate.condition,adj1,adj2,label,left_end,object,response,right_end,rt,slide_number_in_experiment,utterance,error
53,condition1,big,triangular,earring_big_triangular,"""triangular big earring""",earring,[0.89],"""big triangular earring""",5083,46,,
53,condition1,red,matte,nails_red_matte,"""red matte nails""",nails,[0.88],"""matte red nails""",3215,47,,
53,condition1,open,cardboard,box_open_cardboard,"""cardboard open box""",box,[0.85],"""open cardboard box""",3019,48,,
53,condition1,small,round,earring_small_round,"""small round earring""",earring,[0.11],"""round small earring""",2379,49,,
53,condition1,happy,fat,woman2_happy_fat,"""happy fat woman""",woman,[0.09],"""fat happy woman""",3918,50,,
53,condition1,long,black,pencil_long_black,"""long black pencil""",pencil,[0.08],"""black long pencil""",3803,51,,
53,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""",spoon,[0.86],"""clean wooden spoon""",2426,52,,
53,condition1,colored,rectangular,picture_colored_rectangular,"""rectangular colored picture""",picture,[0.1],"""colored rectangular picture""",3642,53,,
53,condition1,spotted,red,frog_spotted_red,"""red spotted frog""",frog,[0.73],"""spotted red frog""",6407,54,,
53,condition1,dry,green,shorts_dry_green,"""green dry shorts""",shorts,[0.88],"""dry green shorts""",33069,55,,
53,condition1,closed,wooden,box_closed_wood,"""closed wooden box""",box,[0.09],"""wooden closed box""",3666,56,,
53,condition1,black and white,square,picture_bw_square,"""black and white square picture""",picture,[0.89],"""square black and white picture""",4604,57,,
53,condition1,curly,brown,hair_curly_brown,"""curly brown hair""",hair,[0.11],"""brown curly hair""",2186,58,,
53,condition1,spotted,green,frog_spotted_green,"""spotted green frog""",frog,[0.92],"""green spotted frog""",2200,59,,
53,condition1,wet,green,shorts_wet_green,"""green wet shorts""",shorts,[0.88],"""wet green shorts""",2643,60,,
53,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""",man,[0.89],"""bearded hat-wearing man""",3637,61,,
53,condition1,metal,high,table_metal_high,"""metal high table""",table,[0.91],"""high metal table""",2907,62,,
60,condition1,,,,,Elizabeth,,,0,1,bot_check,
60,condition1,,,,,Elizabeth,Elizabeth,,0,1,bot_check,
60,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""",hair,[0.84],"""curly blond hair""",7917,3,,
60,condition1,young,bearded,man_young_bearded,"""young bearded man""",man,[0.88],"""bearded young man""",5207,4,,
60,condition1,sad,skinny,woman2_sad_skinny,"""skinny sad woman""",woman,[0.97],"""sad skinny woman""",4705,5,,
60,condition1,short,black,pencil_short_black,"""short black pencil""",pencil,[0.04],"""black short pencil""",4631,6,,
60,condition1,young,happy,woman_young_happy,"""happy young woman""",woman,[0.01],"""young happy woman""",4600,7,,
60,condition1,red,matte,nails_red_matte,"""matte red nails""",nails,[0.03],"""red matte nails""",4020,8,,
60,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""",bottle,[0.98],"""big plastic bottle""",3706,9,,
60,condition1,glass,big,bottle_glass_big,"""glass big bottle""",bottle,[0.94],"""big glass bottle""",11284,10,,
60,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""",woman,[0.04],"""skinny happy woman""",4873,11,,
60,condition1,black,matte,nails_black_matte,"""black matte nails""",nails,[0.03],"""matte black nails""",3090,12,,
60,condition1,red,glossy,nails_red_glossy,"""red glossy nails""",nails,[0.01],"""glossy red nails""",2552,13,,
60,condition1,small,triangular,earring_small_triangular,"""small triangular earring""",earring,[0.04],"""triangular small earring""",8304,14,,
60,condition1,small,round,earring_small_round,"""small round earring""",earring,[0.01],"""round small earring""",2543,15,,
60,condition1,bearded,hat-wearing,man2_bearded_hatted,"""bearded hat-wearing man""",man,[0.93],"""hat-wearing bearded man""",8538,16,,
60,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""",spoon,[0.96],"""clean wooden spoon""",3683,17,,
60,condition1,old,bearded,man_old_bearded,"""bearded old man""",man,[0.04],"""old bearded man""",4364,18,,
60,condition1,young,clean-shaven,man_young_cleanshaven,"""clean-shaven young man""",man,[0.04],"""young clean-shaven man""",2699,19,,
60,condition1,big,round,earring_big_round,"""big round earring""",earring,[0.02],"""round big earring""",3803,20,,
60,condition1,metal,clean,spoon_metal_clean,"""clean metal spoon""",spoon,[0.01],"""metal clean spoon""",2236,21,,
60,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""mustache-touting hat-wearing man""",man,[0.03],"""hat-wearing mustache-touting man""",4214,22,,
60,condition1,open,cardboard,box_open_cardboard,"""open cardboard box""",box,[0.04],"""cardboard open box""",3330,23,,
60,condition1,big,triangular,earring_big_triangular,"""triangular big earring""",earring,[0.97],"""big triangular earring""",9576,24,,
60,condition1,striped,green,frog_striped_green,"""green striped frog""",frog,[0.01],"""striped green frog""",3134,25,,
60,condition1,closed,wooden,box_closed_wood,"""closed wooden box""",box,[0.05],"""wooden closed box""",4056,26,,
60,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""",spoon,[0.01],"""wooden dirty spoon""",2690,27,,
60,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""",bottle,[0.06],"""plastic small bottle""",3499,28,,
60,condition1,metal,low,table_metal_low,"""low metal table""",table,[0.07],"""metal low table""",4917,29,,
60,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""",man,[0.95],"""glasses-wearing mustache-touting man""",10426,30,,
60,condition1,colored,rectangular,picture_colored_rectangular,"""colored rectangular picture""",picture,[0.98],"""rectangular colored picture""",14464,31,,
60,condition1,straight,blond,hair_straight_blonde,"""straight blond hair""",hair,[0.09],"""blond straight hair""",2948,32,,
60,condition1,curly,brown,hair_curly_brown,"""brown curly hair""",hair,[0.97],"""curly brown hair""",3669,33,,
60,condition1,wooden,low,table_wood_low,"""wooden low table""",table,[0.96],"""low wooden table""",4874,34,,
60,condition1,young,sad,woman_young_sad,"""young sad woman""",woman,[0.98],"""sad young woman""",3625,35,,
60,condition1,black and white,square,picture_bw_square,"""black and white square picture""",picture,[0.03],"""square black and white picture""",8457,36,,
60,condition1,wooden,high,table_wood_high,"""wooden high table""",table,[0.95],"""high wooden table""",13008,37,,
60,condition1,dry,green,shorts_dry_green,"""green dry shorts""",shorts,[1],"""dry green shorts""",3027,38,,
60,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""",woman,[0.93],"""sad fat woman""",5083,39,,
60,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""",woman,[0.95],"""happy fat woman""",3285,40,,
60,condition1,old,sad,woman_old_sad,"""old sad woman""",woman,[0.94],"""sad old woman""",3661,41,,
60,condition1,dry,red,shorts_dry_red,"""dry red shorts""",shorts,[0.02],"""red dry shorts""",2184,42,,
60,condition1,short,blue,pencil_short_blue,"""blue short pencil""",pencil,[0.94],"""short blue pencil""",2691,43,,
60,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""bearded glasses-wearing man""",man,[0.04],"""glasses-wearing bearded man""",4167,44,,
60,condition1,open,wooden,box_open_wood,"""wooden open box""",box,[0.93],"""open wooden box""",4365,45,,
60,condition1,straight,brown,hair_straight_brown,"""brown straight hair""",hair,[1],"""straight brown hair""",3802,46,,
60,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""",picture,[0.02],"""rectangular black and white picture""",5531,47,,
60,condition1,metal,high,table_metal_high,"""high metal table""",table,[0.01],"""metal high table""",2763,48,,
60,condition1,old,happy,woman_old_happy,"""happy old woman""",woman,[0.03],"""old happy woman""",2959,49,,
60,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""",spoon,[0.96],"""dirty metal spoon""",2932,50,,
60,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""",box,[0.96],"""closed cardboard box""",3158,51,,
60,condition1,black,glossy,nails_black_glossy,"""black glossy nails""",nails,[0.99],"""glossy black nails""",2505,52,,
60,condition1,old,clean-shaven,man_old_cleanshaven,"""clean-shaven old man""",man,[0],"""old clean-shaven man""",2785,53,,
60,condition1,spotted,red,frog_spotted_red,"""red spotted frog""",frog,[0.93],"""spotted red frog""",6023,54,,
60,condition1,striped,red,frog_striped_red,"""red striped frog""",frog,[0.95],"""striped red frog""",4928,55,,
60,condition1,long,blue,pencil_long_blue,"""long blue pencil""",pencil,[0.02],"""blue long pencil""",2167,56,,
60,condition1,colored,square,picture_colored_square,"""square colored picture""",picture,[0.98],"""colored square picture""",6566,57,,
60,condition1,spotted,green,frog_spotted_green,"""spotted green frog""",frog,[0.02],"""green spotted frog""",3631,58,,
60,condition1,glass,small,bottle_glass_small,"""glass small bottle""",bottle,[0.98],"""small glass bottle""",5004,59,,
60,condition1,long,black,pencil_long_black,"""long black pencil""",pencil,[0.05],"""black long pencil""",3270,60,,
60,condition1,wet,green,shorts_wet_green,"""green wet shorts""",shorts,[0.99],"""wet green shorts""",2568,61,,
60,condition1,wet,red,shorts_wet_red,"""red wet shorts""",shorts,[1],"""wet red shorts""",3201,62,,
62,condition1,,,,,Susan,Susan,,0,1,bot_check,
62,condition1,big,round,earring_big_round,"""big round earring""",earring,[0.15],"""round big earring""",12215,3,,
62,condition1,straight,brown,hair_straight_brown,"""straight brown hair""",hair,[0.01],"""brown straight hair""",5784,4,,
62,condition1,long,blue,pencil_long_blue,"""blue long pencil""",pencil,[0.87],"""long blue pencil""",4872,5,,
62,condition1,red,glossy,nails_red_glossy,"""glossy red nails""",nails,[0.02],"""red glossy nails""",4968,6,,
62,condition1,metal,high,table_metal_high,"""metal high table""",table,[0.96],"""high metal table""",3960,7,,
62,condition1,wooden,low,table_wood_low,"""low wooden table""",table,[0.05],"""wooden low table""",3680,8,,
62,condition1,short,blue,pencil_short_blue,"""short blue pencil""",pencil,[0.03],"""blue short pencil""",3616,9,,
62,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""",bottle,[0.93],"""big plastic bottle""",4624,10,,
62,condition1,colored,square,picture_colored_square,"""square colored picture""",picture,[0.06],"""colored square picture""",4736,11,,
62,condition1,spotted,green,frog_spotted_green,"""green spotted frog""",frog,[0.92],"""spotted green frog""",7056,12,,
62,condition1,black,glossy,nails_black_glossy,"""black glossy nails""",nails,[0.04],"""glossy black nails""",5624,13,,
62,condition1,small,triangular,earring_small_triangular,"""small triangular earring""",earring,[0.05],"""triangular small earring""",4768,14,,
62,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""",picture,[0.07],"""rectangular black and white picture""",9848,15,,
62,condition1,wooden,clean,spoon_wooden_clean,"""clean wooden spoon""",spoon,[0.04],"""wooden clean spoon""",3544,16,,
62,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""bearded glasses-wearing man""",man,[0.89],"""glasses-wearing bearded man""",5408,17,,
62,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""",box,[0.93],"""closed cardboard box""",3168,18,,
62,condition1,young,sad,woman_young_sad,"""sad young woman""",woman,[0.03],"""young sad woman""",3488,19,,
62,condition1,wet,red,shorts_wet_red,"""red wet shorts""",shorts,[0.94],"""wet red shorts""",3727,20,,
62,condition1,glass,big,bottle_glass_big,"""big glass bottle""",bottle,[0.02],"""glass big bottle""",4120,21,,
62,condition1,spotted,red,frog_spotted_red,"""red spotted frog""",frog,[0.95],"""spotted red frog""",8424,22,,
62,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""",man,[0.05],"""mustache-touting hat-wearing man""",12551,23,,
62,condition1,black,matte,nails_black_matte,"""black matte nails""",nails,[0.93],"""matte black nails""",5472,24,,
62,condition1,metal,low,table_metal_low,"""low metal table""",table,[0.04],"""metal low table""",3632,25,,
62,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""",spoon,[0.95],"""dirty metal spoon""",3591,26,,
62,condition1,straight,blond,hair_straight_blonde,"""blond straight hair""",hair,[0.95],"""straight blond hair""",4136,27,,
62,condition1,curly,blond,hair_curly_blonde,"""curly blond hair""",hair,[0.05],"""blond curly hair""",3216,28,,
62,condition1,old,sad,woman_old_sad,"""sad old woman""",woman,[0.04],"""old sad woman""",6984,29,,
62,condition1,colored,rectangular,picture_colored_rectangular,"""colored rectangular picture""",picture,[0.95],"""rectangular colored picture""",9216,30,,
62,condition1,striped,green,frog_striped_green,"""striped green frog""",frog,[0.95],"""green striped frog""",6320,31,,
62,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""",man,[0.04],"""bearded hat-wearing man""",5864,32,,
62,condition1,red,matte,nails_red_matte,"""matte red nails""",nails,[0.04],"""red matte nails""",5952,33,,
62,condition1,black and white,square,picture_bw_square,"""black and white square picture""",picture,[0.05],"""square black and white picture""",7944,34,,
62,condition1,closed,wooden,box_closed_wood,"""wooden closed box""",box,[0.92],"""closed wooden box""",2583,35,,
62,condition1,long,black,pencil_long_black,"""black long pencil""",pencil,[0.96],"""long black pencil""",4400,36,,
62,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""",man,[0.95],"""clean-shaven old man""",4848,37,,
62,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""",man,[0.96],"""glasses-wearing mustache-touting man""",9895,38,,
62,condition1,wet,green,shorts_wet_green,"""green wet shorts""",shorts,[0.95],"""wet green shorts""",4761,39,,
62,condition1,short,black,pencil_short_black,"""black short pencil""",pencil,[0.95],"""short black pencil""",4336,40,,
62,condition1,young,happy,woman_young_happy,"""happy young woman""",woman,[0.93],"""young happy woman""",5791,41,,
62,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""",woman,[0.96],"""skinny happy woman""",5264,42,,
62,condition1,old,happy,woman_old_happy,"""old happy woman""",woman,[0.94],"""happy old woman""",3096,43,,
62,condition1,wooden,high,table_wood_high,"""wooden high table""",table,[0.9],"""high wooden table""",5440,44,,
62,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""",woman,[0.95],"""sad fat woman""",4336,45,,
62,condition1,young,bearded,man_young_bearded,"""bearded young man""",man,[0.97],"""young bearded man""",8256,46,,
62,condition1,old,bearded,man_old_bearded,"""old bearded man""",man,[0.95],"""bearded old man""",2495,47,,
62,condition1,dry,red,shorts_dry_red,"""dry red shorts""",shorts,[0.02],"""red dry shorts""",4649,48,,
62,condition1,big,triangular,earring_big_triangular,"""big triangular earring""",earring,[0.08],"""triangular big earring""",6080,49,,
62,condition1,open,cardboard,box_open_cardboard,"""cardboard open box""",box,[0.94],"""open cardboard box""",4008,50,,
62,condition1,young,clean-shaven,man_young_cleanshaven,"""clean-shaven young man""",man,[0.04],"""young clean-shaven man""",4864,51,,
62,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""",bottle,[0.01],"""plastic small bottle""",4663,52,,
62,condition1,small,round,earring_small_round,"""round small earring""",earring,[0.97],"""small round earring""",5992,53,,
62,condition1,open,wooden,box_open_wood,"""open wooden box""",box,[0.05],"""wooden open box""",3288,54,,
62,condition1,dry,green,shorts_dry_green,"""dry green shorts""",shorts,[0.02],"""green dry shorts""",3336,55,,
62,condition1,metal,clean,spoon_metal_clean,"""metal clean spoon""",spoon,[0.94],"""clean metal spoon""",3720,56,,
62,condition1,striped,red,frog_striped_red,"""red striped frog""",frog,[0.05],"""striped red frog""",4144,57,,
62,condition1,glass,small,bottle_glass_small,"""small glass bottle""",bottle,[0.03],"""glass small bottle""",5056,58,,
62,condition1,wooden,dirty,spoon_wooden_dirty,"""wooden dirty spoon""",spoon,[0.96],"""dirty wooden spoon""",3784,59,,
62,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""",woman,[0.97],"""happy fat woman""",2960,60,,
62,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""",woman,[0.98],"""skinny sad woman""",2448,61,,
62,condition1,curly,brown,hair_curly_brown,"""curly brown hair""",hair,[0.05],"""brown curly hair""",3432,62,,
16,condition1,,,,,Elizabeth,Elizabeth,,0,1,bot_check,
16,condition1,old,happy,woman_old_happy,"""happy old woman""",woman,[0.06],"""old happy woman""",16052,3,,
16,condition1,black and white,square,picture_bw_square,"""black and white square picture""",picture,[0.92],"""square black and white picture""",13368,4,,
16,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""",woman,[0.76],"""skinny sad woman""",8217,5,,
16,condition1,striped,green,frog_striped_green,"""green striped frog""",frog,[0.93],"""striped green frog""",5709,6,,
16,condition1,short,black,pencil_short_black,"""short black pencil""",pencil,[0.08],"""black short pencil""",6431,7,,
16,condition1,happy,skinny,woman2_happy_skinny,"""skinny happy woman""",woman,[0.77],"""happy skinny woman""",6019,8,,
16,condition1,straight,blond,hair_straight_blonde,"""blond straight hair""",hair,[0.94],"""straight blond hair""",7585,9,,
16,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""",spoon,[0.84],"""dirty metal spoon""",5411,10,,
16,condition1,open,wooden,box_open_wood,"""wooden open box""",box,[0.94],"""open wooden box""",5458,11,,
16,condition1,big,round,earring_big_round,"""big round earring""",earring,[0.11],"""round big earring""",6458,12,,
16,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""",man,[0.93],"""bearded hat-wearing man""",9098,13,,
16,condition1,black,matte,nails_black_matte,"""matte black nails""",nails,[0.76],"""black matte nails""",6712,14,,
16,condition1,wooden,low,table_wood_low,"""low wooden table""",table,[0.05],"""wooden low table""",6292,15,,
16,condition1,glass,big,bottle_glass_big,"""glass big bottle""",bottle,[0.95],"""big glass bottle""",7309,16,,
16,condition1,old,bearded,man_old_bearded,"""old bearded man""",man,[0.67],"""bearded old man""",5592,17,,
16,condition1,wet,green,shorts_wet_green,"""wet green shorts""",shorts,[0.92],"""green wet shorts""",4997,18,,
16,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""mustache-touting hat-wearing man""",man,[0.31],"""hat-wearing mustache-touting man""",10994,19,,
16,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""",man,[0.74],"""glasses-wearing mustache-touting man""",9757,20,,
16,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""",spoon,[0.05],"""wooden dirty spoon""",3813,21,,
16,condition1,red,matte,nails_red_matte,"""matte red nails""",nails,[0.87],"""red matte nails""",7320,22,,
16,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""bearded glasses-wearing man""",man,[0.76],"""glasses-wearing bearded man""",12189,23,,
16,condition1,colored,square,picture_colored_square,"""square colored picture""",picture,[0.08],"""colored square picture""",6095,24,,
16,condition1,old,clean-shaven,man_old_cleanshaven,"""clean-shaven old man""",man,[0.03],"""old clean-shaven man""",4515,25,,
16,condition1,wet,red,shorts_wet_red,"""red wet shorts""",shorts,[0.92],"""wet red shorts""",5763,26,,
16,condition1,black,glossy,nails_black_glossy,"""glossy black nails""",nails,[0.08],"""black glossy nails""",6083,27,,
16,condition1,young,clean-shaven,man_young_cleanshaven,"""young clean-shaven man""",man,[0.94],"""clean-shaven young man""",5639,28,,
16,condition1,plastic,big,bottle_plastic_big,"""big plastic bottle""",bottle,[0.14],"""plastic big bottle""",6717,29,,
16,condition1,spotted,red,frog_spotted_red,"""spotted red frog""",frog,[0.74],"""red spotted frog""",6723,30,,
16,condition1,red,glossy,nails_red_glossy,"""glossy red nails""",nails,[0.24],"""red glossy nails""",6618,31,,
16,condition1,dry,green,shorts_dry_green,"""dry green shorts""",shorts,[0.05],"""green dry shorts""",7045,32,,
16,condition1,metal,clean,spoon_metal_clean,"""metal clean spoon""",spoon,[0.9],"""clean metal spoon""",4767,33,,
16,condition1,colored,rectangular,picture_colored_rectangular,"""rectangular colored picture""",picture,[0.91],"""colored rectangular picture""",7004,34,,
16,condition1,long,blue,pencil_long_blue,"""blue long pencil""",pencil,[0.93],"""long blue pencil""",6108,35,,
16,condition1,spotted,green,frog_spotted_green,"""green spotted frog""",frog,[0.89],"""spotted green frog""",5230,36,,
16,condition1,glass,small,bottle_glass_small,"""small glass bottle""",bottle,[0.13],"""glass small bottle""",6378,37,,
16,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""",spoon,[0.93],"""clean wooden spoon""",6969,38,,
16,condition1,metal,low,table_metal_low,"""low metal table""",table,[0.05],"""metal low table""",5377,39,,
16,condition1,open,cardboard,box_open_cardboard,"""open cardboard box""",box,[0.05],"""cardboard open box""",8604,40,,
16,condition1,small,triangular,earring_small_triangular,"""triangular small earring""",earring,[0.94],"""small triangular earring""",5080,41,,
16,condition1,straight,brown,hair_straight_brown,"""brown straight hair""",hair,[0.93],"""straight brown hair""",6188,42,,
16,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""",woman,[0.91],"""happy fat woman""",4706,43,,
16,condition1,big,triangular,earring_big_triangular,"""big triangular earring""",earring,[0.49],"""triangular big earring""",10812,44,,
16,condition1,old,sad,woman_old_sad,"""old sad woman""",woman,[0.91],"""sad old woman""",4453,45,,
16,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""",bottle,[0.07],"""plastic small bottle""",4955,46,,
16,condition1,young,sad,woman_young_sad,"""sad young woman""",woman,[0.08],"""young sad woman""",8255,47,,
16,condition1,short,blue,pencil_short_blue,"""blue short pencil""",pencil,[0.93],"""short blue pencil""",4283,48,,
16,condition1,wooden,high,table_wood_high,"""high wooden table""",table,[0.13],"""wooden high table""",5916,49,,
16,condition1,curly,blond,hair_curly_blonde,"""curly blond hair""",hair,[0.05],"""blond curly hair""",4788,50,,
16,condition1,metal,high,table_metal_high,"""high metal table""",table,[0.05],"""metal high table""",4850,51,,
16,condition1,striped,red,frog_striped_red,"""red striped frog""",frog,[0.48],"""striped red frog""",11018,52,,
16,condition1,curly,brown,hair_curly_brown,"""brown curly hair""",hair,[0.49],"""curly brown hair""",5941,53,,
16,condition1,small,round,earring_small_round,"""small round earring""",earring,[0.12],"""round small earring""",4944,54,,
16,condition1,closed,cardboard,box_closed_cardboard,"""closed cardboard box""",box,[0.02],"""cardboard closed box""",5865,55,,
16,condition1,closed,wooden,box_closed_wood,"""wooden closed box""",box,[0.91],"""closed wooden box""",5299,56,,
16,condition1,young,happy,woman_young_happy,"""young happy woman""",woman,[0.94],"""happy young woman""",4959,57,,
16,condition1,long,black,pencil_long_black,"""black long pencil""",pencil,[0.91],"""long black pencil""",6288,58,,
16,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""",woman,[0.93],"""sad fat woman""",5643,59,,
16,condition1,young,bearded,man_young_bearded,"""bearded young man""",man,[0.07],"""young bearded man""",5585,60,,
16,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""",picture,[0.08],"""rectangular black and white picture""",7100,61,,
16,condition1,dry,red,shorts_dry_red,"""dry red shorts""",shorts,[0.05],"""red dry shorts""",4469,62,,
