workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
109,condition1,old,man_old_bearded,man,[0.09],2024,39,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,hat-wearing,man2_bearded_hatted,man,[0.08],2352,40,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,happy,woman_old_happy,woman,[0.82],2648,41,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,metal,spoon_metal_clean,spoon,[0.09],1784,42,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,blond,hair_curly_blonde,hair,[0.09],1576,43,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,blue,pencil_long_blue,pencil,[0.07],2664,44,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,clean-shaven,man_old_cleanshaven,man,[0.09],2448,45,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,sad,woman_old_sad,woman,[0.86],3904,46,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,cardboard,box_closed_cardboard,box,[0.06],1696,47,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,glasses-wearing,man2_bearded_glassed,man,[0.07],2240,48,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
104,condition1,,,Linda,Linda,0,1,bot_check,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,black,nails_black_glossy,nails,[0.38],11731,3,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,glass,bottle_glass_big,bottle,[0],35799,4,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,open,box_open_cardboard,box,[0.1],6206,5,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,cardboard,box_closed_cardboard,box,[0.33],5527,6,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,clean,spoon_metal_clean,spoon,[0.1],6385,7,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,happy,woman_old_happy,woman,[0.76],3406,8,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,glasses-wearing,man2_bearded_glassed,man,[0],3673,9,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,plastic,bottle_plastic_big,bottle,[0.56],6474,10,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,short,pencil_short_black,pencil,[0.21],5083,11,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,old,man_old_bearded,man,[0.62],5017,12,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,young,man_young_bearded,man,[0.35],4968,13,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,blond,hair_curly_blonde,hair,[0.94],5276,14,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,high,table_metal_high,table,[0.49],3480,15,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,mustache-touting,man2_mustached_glassed,man,[0.45],25994,16,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,clean-shaven,man_old_cleanshaven,man,[0.32],4978,17,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,long,pencil_long_black,pencil,[0.27],4604,18,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,blue,pencil_long_blue,pencil,[0.92],2719,19,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,wet,shorts_wet_green,shorts,[0.61],7560,20,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,brown,hair_curly_brown,hair,[0.98],3179,21,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,matte,nails_black_matte,nails,[0.61],5221,22,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,square,picture_bw_square,picture,[0.86],3844,23,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,metal,spoon_metal_clean,spoon,[0.17],8588,24,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,round,earring_big_round,earring,[0.83],4152,25,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,low,table_metal_low,table,[0.12],3415,26,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,sad,woman_old_sad,woman,[0.93],2420,27,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,closed,box_closed_cardboard,box,[0.32],2502,28,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,hat-wearing,man2_bearded_hatted,man,[0],3052,29,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,bearded,man_old_bearded,man,[0],2735,30,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,glossy,nails_black_glossy,nails,[0.54],3198,31,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,straight,hair_straight_blond,hair,[0.61],5204,32,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,curly,hair_curly_blonde,hair,[0.65],5068,33,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,striped,frog_striped_green,frog,[0.2],2954,34,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,colored,picture_colored_rectangular,picture,[0.79],5133,35,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,green,frog_spotted_green,frog,[0.17],3884,36,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,dirty,spoon_metal_dirty,spoon,[0.12],2428,37,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,red,frog_spotted_red,frog,[0.12],2283,38,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
104,condition1,triangular,earring_big_triangular,earring,[0.8],3504,39,,[],22,Confused,,2,1,Female,English,Chrome,Mac,900,1440,4.93065,
