workerid,proliferate.condition,adj1,adj2,label,left_end,left_end_tr,object,response,right_end,right_end_tr,rt,slide_number_in_experiment,trial_type,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
973,condition1,young,bearded,man_young_bearded,"""bearded young man""","""sakallı genç adam""",man,[0.89],"""young bearded man""","""genç sakallı adam""",51503,12,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,open,cardboard,box_open_cardboard,"""open cardboard box""","""açık karton kutu""",box,[0],"""cardboard open box""","""karton açık kutu""",42989,13,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,colored,square,picture_colored_square,"""colored square picture""","""renkli kare resim""",picture,[0.91],"""square colored picture""","""kare renkli resim""",133630,14,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,closed,cardboard,box_closed_cardboard,"""closed cardboard box""","""kapalı karton kutu""",box,[0.06],"""cardboard closed box""","""karton kapalı kutu""",44304,15,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,glass,big,bottle_glass_big,"""glass big bottle""","""cam büyük şişe""",bottle,[0.89],"""big glass bottle""","""büyük cam şişe""",99587,16,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,young,sad,woman_young_sad,"""sad young woman""","""mutsuz genç kadın""",woman,[0.05],"""young sad woman""","""genç mutsuz kadın""",47526,17,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,glass,small,bottle_glass_small,"""small glass bottle""","""küçük cam şişe""",bottle,[0.94],"""glass small bottle""","""cam küçük şişe""",342193,18,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[0.08],"""skinny happy woman""","""zayıf mutlu kadın""",54502,19,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,young,clean-shaven,man_young_cleanshaven,"""young clean-shaven man""","""genç sakalsız adam""",man,[0.95],"""clean-shaven young man""","""sakalsız genç adam""",34990,20,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,long,black,pencil_long_black,"""long black pencil""","""uzun siyah kalem""",pencil,[0.07],"""black long pencil""","""siyah uzun kalem""",7028,21,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""","""yaşlı sakalsız adam""",man,[0.1],"""clean-shaven old man""","""sakalsız yaşlı adam""",2950,22,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,metal,low,table_metal_low,"""metal low table""","""metal alçak masa""",table,[0.92],"""low metal table""","""alçak metal masa""",2194,23,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,young,happy,woman_young_happy,"""happy young woman""","""mutlu genç kadın""",woman,[0.1],"""young happy woman""","""genç mutlu kadın""",1838,24,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""","""şapkalı sakallı adam""",man,[0.07],"""bearded hat-wearing man""","""sakallı şapkalı adam""",2479,25,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,striped,red,frog_striped_red,"""striped red frog""","""çizgili kırmızı kurbağa""",frog,[0.95],"""red striped frog""","""kırmızı çizgili kurbağa""",2363,26,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,dry,green,shorts_dry_green,"""green dry shorts""","""yeşil kuru şort""",shorts,[0.91],"""dry green shorts""","""kuru yeşil şort""",2684,27,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,short,blue,pencil_short_blue,"""short blue pencil""","""kısa mavi kalem""",pencil,[0.07],"""blue short pencil""","""mavi kısa kalem""",2018,28,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,short,black,pencil_short_black,"""black short pencil""","""siyah kısa kalem""",pencil,[0.92],"""short black pencil""","""kısa siyah kalem""",1930,29,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,curly,blond,hair_curly_blonde,"""curly blond hair""","""kıvırcık sarı saç""",hair,[0.11],"""blond curly hair""","""sarı kıvırcık saç""",1714,30,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,old,bearded,man_old_bearded,"""old bearded man""","""yaşlı sakallı adam""",man,[0.07],"""bearded old man""","""sakallı yaşlı adam""",2054,31,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",picture,[0.08],"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",3791,32,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,colored,rectangular,picture_colored_rectangular,"""colored rectangular picture""","""renkli dikdörtgen resim""",picture,[0.89],"""rectangular colored picture""","""dikdörtgen renkli resim""",2408,33,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,spotted,red,frog_spotted_red,"""spotted red frog""","""benekli kırmızı kurbağa""",frog,[0.92],"""red spotted frog""","""kırmızı benekli kurbağa""",2604,34,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,small,triangular,earring_small_triangular,"""small triangular earring""","""küçük üçgen küpe""",earring,[0.08],"""triangular small earring""","""üçgen küçük küpe""",2202,35,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""","""şişman mutsuz kadın""",woman,[0.06],"""sad fat woman""","""mutsuz şişman kadın""",5072,36,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""","""küçük plastik şişe""",bottle,[0.06],"""plastic small bottle""","""plastik küçük şişe""",2580,37,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,sad,skinny,woman2_sad_skinny,"""skinny sad woman""","""zayıf mutsuz kadın""",woman,[0],"""sad skinny woman""","""mutsuz zayıf kadın""",4568,38,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,striped,green,frog_striped_green,"""green striped frog""","""yeşil çizgili kurbağa""",frog,[0.05],"""striped green frog""","""çizgili yeşil kurbağa""",2306,39,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,wet,red,shorts_wet_red,"""wet red shorts""","""ıslak kırmızı şort""",shorts,[0.94],"""red wet shorts""","""kırmızı ıslak şort""",2824,40,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",man,[0.49],"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",6254,41,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,wooden,low,table_wood_low,"""low wooden table""","""alçak tahta masa""",table,[0.1],"""wooden low table""","""tahta alçak masa""",2592,42,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",man,[0.06],"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",2168,43,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""glasses-wearing bearded man""","""gözlüklü sakallı adam""",man,[0.04],"""bearded glasses-wearing man""","""sakallı gözlüklü adam""",1980,44,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,long,blue,pencil_long_blue,"""blue long pencil""","""mavi uzun kalem""",pencil,[0.96],"""long blue pencil""","""uzun mavi kalem""",2188,45,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,wooden,high,table_wood_high,"""high wooden table""","""yüksek tahta masa""",table,[0.05],"""wooden high table""","""tahta yüksek masa""",1946,46,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,closed,wooden,box_closed_wood,"""closed wooden box""","""kapalı tahta kutu""",box,[0.02],"""wooden closed box""","""tahta kapalı kutu""",2298,47,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,straight,blond,hair_straight_blonde,"""blond straight hair""","""sarı düz saç""",hair,[0.95],"""straight blond hair""","""düz sarı saç""",2190,48,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,metal,high,table_metal_high,"""high metal table""","""yüksek metal masa""",table,[0.03],"""metal high table""","""metal yüksek masa""",2342,49,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,red,glossy,nails_red_glossy,"""red glossy nails""","""kırmızı parlak oje""",nails,[0.97],"""glossy red nails""","""parlak kırmızı oje""",3942,50,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""","""plastik büyük şişe""",bottle,[0.92],"""big plastic bottle""","""büyük plastik şişe""",2176,51,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,old,sad,woman_old_sad,"""old sad woman""","""yaşlı mutsuz kadın""",woman,[0.91],"""sad old woman""","""mutsuz yaşlı kadın""",1966,52,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,metal,clean,spoon_metal_clean,"""metal clean spoon""","""metal temiz kaşık""",spoon,[0.93],"""clean metal spoon""","""temiz metal kaşık""",2299,53,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,spotted,green,frog_spotted_green,"""green spotted frog""","""yeşil benekli kurbağa""",frog,[0.05],"""spotted green frog""","""benekli yeşil kurbağa""",2589,54,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,black,glossy,nails_black_glossy,"""black glossy nails""","""siyah parlak oje""",nails,[0.97],"""glossy black nails""","""parlak siyah oje""",3608,55,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,small,round,earring_small_round,"""round small earring""","""yuvarlak küçük küpe""",earring,[0.94],"""small round earring""","""küçük yuvarlak küpe""",2038,56,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,big,triangular,earring_big_triangular,"""big triangular earring""","""büyük üçgen küpe""",earring,[0.06],"""triangular big earring""","""üçgen büyük küpe""",2390,57,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,wet,green,shorts_wet_green,"""green wet shorts""","""yeşil ıslak şort""",shorts,[0.95],"""wet green shorts""","""ıslak yeşil şort""",2048,58,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,old,happy,woman_old_happy,"""happy old woman""","""mutlu yaşlı kadın""",woman,[0.04],"""old happy woman""","""yaşlı mutlu kadın""",3252,59,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""","""metal kirli kaşık""",spoon,[0.49],"""dirty metal spoon""","""kirli metal kaşık""",3488,60,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""","""şişman mutlu kadın""",woman,[0.95],"""happy fat woman""","""mutlu şişman kadın""",3302,61,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,dry,red,shorts_dry_red,"""dry red shorts""","""kuru kırmızı şort""",shorts,[0.04],"""red dry shorts""","""kırmızı kuru şort""",2988,62,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
968,condition1,,,,,,beyaz,Beyaz,,,0,1,bot_check,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,spotted,green,frog_spotted_green,"""spotted green frog""","""benekli yeşil kurbağa""",frog,[0.96],"""green spotted frog""","""yeşil benekli kurbağa""",9521,3,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,wet,green,shorts_wet_green,"""wet green shorts""","""ıslak yeşil şort""",shorts,[0.02],"""green wet shorts""","""yeşil ıslak şort""",8776,4,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,short,blue,pencil_short_blue,"""blue short pencil""","""mavi kısa kalem""",pencil,[0.97],"""short blue pencil""","""kısa mavi kalem""",6207,5,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,short,black,pencil_short_black,"""short black pencil""","""kısa siyah kalem""",pencil,[0.01],"""black short pencil""","""siyah kısa kalem""",5030,6,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""","""şapkalı sakallı adam""",man,[0.98],"""bearded hat-wearing man""","""sakallı şapkalı adam""",11126,7,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,dry,green,shorts_dry_green,"""green dry shorts""","""yeşil kuru şort""",shorts,[0.02],"""dry green shorts""","""kuru yeşil şort""",8492,8,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""","""metal kirli kaşık""",spoon,[0.98],"""dirty metal spoon""","""kirli metal kaşık""",14842,9,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,small,triangular,earring_small_triangular,"""small triangular earring""","""küçük üçgen küpe""",earring,[0.03],"""triangular small earring""","""üçgen küçük küpe""",7675,10,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""bearded glasses-wearing man""","""sakallı gözlüklü adam""",man,[0],"""glasses-wearing bearded man""","""gözlüklü sakallı adam""",6940,11,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,spotted,red,frog_spotted_red,"""spotted red frog""","""benekli kırmızı kurbağa""",frog,[0.97],"""red spotted frog""","""kırmızı benekli kurbağa""",5493,12,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,glass,big,bottle_glass_big,"""glass big bottle""","""cam büyük şişe""",bottle,[0.97],"""big glass bottle""","""büyük cam şişe""",6830,13,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,old,clean-shaven,man_old_cleanshaven,"""clean-shaven old man""","""sakalsız yaşlı adam""",man,[0.98],"""old clean-shaven man""","""yaşlı sakalsız adam""",8798,14,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,big,round,earring_big_round,"""big round earring""","""büyük yuvarlak küpe""",earring,[0.01],"""round big earring""","""yuvarlak büyük küpe""",9404,15,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,colored,square,picture_colored_square,"""colored square picture""","""renkli kare resim""",picture,[0.02],"""square colored picture""","""kare renkli resim""",6904,16,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,young,clean-shaven,man_young_cleanshaven,"""young clean-shaven man""","""genç sakalsız adam""",man,[0.99],"""clean-shaven young man""","""sakalsız genç adam""",4035,17,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""","""küçük plastik şişe""",bottle,[0.01],"""plastic small bottle""","""plastik küçük şişe""",7406,18,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,open,cardboard,box_open_cardboard,"""open cardboard box""","""açık karton kutu""",box,[0.03],"""cardboard open box""","""karton açık kutu""",5347,19,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,striped,red,frog_striped_red,"""red striped frog""","""kırmızı çizgili kurbağa""",frog,[0],"""striped red frog""","""çizgili kırmızı kurbağa""",5722,20,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,long,blue,pencil_long_blue,"""long blue pencil""","""uzun mavi kalem""",pencil,[0.04],"""blue long pencil""","""mavi uzun kalem""",5773,21,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,small,round,earring_small_round,"""round small earring""","""yuvarlak küçük küpe""",earring,[0.98],"""small round earring""","""küçük yuvarlak küpe""",4273,22,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,black,glossy,nails_black_glossy,"""black glossy nails""","""siyah parlak oje""",nails,[0.98],"""glossy black nails""","""parlak siyah oje""",13299,23,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,metal,low,table_metal_low,"""low metal table""","""alçak metal masa""",table,[0],"""metal low table""","""metal alçak masa""",7258,24,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,young,sad,woman_young_sad,"""young sad woman""","""genç mutsuz kadın""",woman,[0.97],"""sad young woman""","""mutsuz genç kadın""",8329,25,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,red,glossy,nails_red_glossy,"""glossy red nails""","""parlak kırmızı oje""",nails,[0.99],"""red glossy nails""","""kırmızı parlak oje""",7891,26,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,black,matte,nails_black_matte,"""matte black nails""","""mat siyah oje""",nails,[0.95],"""black matte nails""","""siyah mat oje""",5463,27,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,old,bearded,man_old_bearded,"""old bearded man""","""yaşlı sakallı adam""",man,[0.05],"""bearded old man""","""sakallı yaşlı adam""",15558,28,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,big,triangular,earring_big_triangular,"""big triangular earring""","""büyük üçgen küpe""",earring,[0.04],"""triangular big earring""","""üçgen büyük küpe""",5415,29,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,glass,small,bottle_glass_small,"""glass small bottle""","""cam küçük şişe""",bottle,[0.94],"""small glass bottle""","""küçük cam şişe""",4731,30,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",man,[0.98],"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",5472,31,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,old,sad,woman_old_sad,"""sad old woman""","""mutsuz yaşlı kadın""",woman,[0.95],"""old sad woman""","""yaşlı mutsuz kadın""",3638,32,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""","""plastik büyük şişe""",bottle,[0.95],"""big plastic bottle""","""büyük plastik şişe""",2948,33,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""","""mutsuz zayıf kadın""",woman,[0.96],"""skinny sad woman""","""zayıf mutsuz kadın""",3689,34,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,straight,brown,hair_straight_brown,"""brown straight hair""","""kahverengi düz saç""",hair,[0.98],"""straight brown hair""","""düz kahverengi saç""",4169,35,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,wooden,high,table_wood_high,"""wooden high table""","""tahta yüksek masa""",table,[0.96],"""high wooden table""","""yüksek tahta masa""",3811,36,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[0.96],"""skinny happy woman""","""zayıf mutlu kadın""",4780,37,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""","""sarı kıvırcık saç""",hair,[0.02],"""curly blond hair""","""kıvırcık sarı saç""",9306,38,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,colored,rectangular,picture_colored_rectangular,"""rectangular colored picture""","""dikdörtgen renkli resim""",picture,[0.96],"""colored rectangular picture""","""renkli dikdörtgen resim""",9535,39,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,metal,high,table_metal_high,"""high metal table""","""yüksek metal masa""",table,[0.02],"""metal high table""","""metal yüksek masa""",7871,40,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
968,condition1,striped,green,frog_striped_green,"""green striped frog""","""yeşil çizgili kurbağa""",frog,[0],"""striped green frog""","""çizgili yeşil kurbağa""",12649,41,,[],37,Yes,"Eglenceli bir deneydi, kolay gelsin.",4,1,Male,Turkce,Safari,Mac,1050,1680,8.398716666666667,
